,Date,AAPL,DG,F,JBLU,SBUX
0,2014-12-01,102.110046,66.970558,11.94584,15.86,37.91613
1,2015-03-01,115.561661,71.403702,12.566018,19.25,43.921547
2,2015-06-01,116.976997,73.85424,11.796418,20.76,49.895802
3,2015-09-01,103.332245,69.014305,10.773688,25.77,53.037998
4,2015-12-01,99.03273,68.68602,11.300375,22.65,56.19598
